mnc,year,geographic_score,completness_score,transparency_score
SGR,2018,100.0,83.33333333333334,91.66666666666667
SGR,2019,100.0,83.33333333333334,91.66666666666667
SGR,2020,100.0,83.33333333333334,91.66666666666667
SGR,2021,100.0,83.33333333333334,91.66666666666667
SHELL,2018,100.0,100.0,100.0
SHELL,2019,100.0,100.0,100.0
SHELL,2020,100.0,100.0,100.0
SHELL,2021,100.0,100.0,100.0
SHV,2022,65.68012162897183,41.66666666666667,53.67339414781925
SILTRONIC,2020,99.75712986429907,75.0,87.37856493214954
SILTRONIC,2021,99.07439102314584,75.0,87.03719551157292
SILTRONIC,2022,98.87176138948746,75.0,86.93588069474373
ST. JAMES'S PLACE,2015,100.0,100.0,100.0
ST. JAMES'S PLACE,2016,100.0,100.0,100.0
ST. JAMES'S PLACE,2017,100.0,100.0,100.0
ST. JAMES'S PLACE,2018,100.0,100.0,100.0
ST. JAMES'S PLACE,2019,100.0,100.0,100.0
ST. JAMES'S PLACE,2020,100.0,100.0,100.0
ST. JAMES'S PLACE,2021,100.0,100.0,100.0
ST. JAMES'S PLACE,2022,100.0,100.0,100.0
SNAM,2020,100.0,83.33333333333334,91.66666666666667
SNAM,2021,100.0,83.33333333333334,91.66666666666667
SOL,2020,100.0,83.33333333333334,91.66666666666667
SOL,2021,100.0,83.33333333333334,91.66666666666667
SONOCO,2020,39.13700546522069,33.33333333333333,36.23516939927701
SONOCO,2021,76.58078436482518,33.33333333333333,54.95705884907925
SOUTH32,2019,100.0,83.33333333333334,91.66666666666667
SOUTH32,2020,100.0,83.33333333333334,91.66666666666667
SOUTH32,2021,100.0,83.33333333333334,91.66666666666667
SOUTH32,2022,100.0,83.33333333333334,91.66666666666667
SSE,2018,100.0,58.333333333333336,79.16666666666667
SSE,2019,100.0,58.333333333333336,79.16666666666667
SSE,2020,100.0,58.333333333333336,79.16666666666667
SSE,2021,100.0,58.333333333333336,79.16666666666667
SUMITOMO METAL MINING,2020,99.91954300426423,16.666666666666664,58.29310483546544
SUMITOMO METAL MINING,2021,99.95839112343967,16.666666666666664,58.31252889505316
SWISS LIFE,2020,98.86840298544043,83.33333333333334,91.10086815938689
SWISS LIFE,2021,98.93295329332392,83.33333333333334,91.13314331332863
SWISS RE,2019,100.0,25.0,62.5
SWISS RE,2020,97.27341454932007,33.33333333333333,65.3033739413267
SWISS RE,2021,96.44735802535152,33.33333333333333,64.89034567934243
TECK RESOURCES,2019,100.0,100.0,100.0
TECK RESOURCES,2020,100.0,100.0,100.0
TECK RESOURCES,2021,100.0,100.0,100.0
TELEFONICA,2019,100.0,83.33333333333334,91.66666666666667
TELEFONICA,2020,100.0,83.33333333333334,91.66666666666667
TELEFONICA,2021,100.0,83.33333333333334,91.66666666666667
TELENOR,2018,100.0,50.0,75.0
TELENOR,2019,100.0,50.0,75.0
TELENOR,2020,98.5705596107056,16.666666666666664,57.61861313868613
TELENOR,2021,97.44277487042547,41.66666666666667,69.55472076854608
TELENOR,2022,97.68646563197646,41.66666666666667,69.67656614932156
TERNA,2020,99.03068881018116,41.66666666666667,70.34867773842392
TERNA,2021,99.44712535368635,58.333333333333336,78.89022934350984
TIM,2019,100.0,16.666666666666664,58.33333333333333
TIM,2020,100.0,16.666666666666664,58.33333333333333
TIM,2021,100.0,16.666666666666664,58.33333333333333
TINEXTA,2021,100.0,83.33333333333334,91.66666666666667
TKH,2020,36.85544051075942,58.333333333333336,47.59438692204638
TKH,2021,36.67840503341308,58.333333333333336,47.50586918337321
TKH,2022,41.174718899808006,58.333333333333336,49.75402611657067
TOD'S,2020,67.70717065193435,83.33333333333334,75.52025199263385
TOD'S,2021,70.95015699694068,83.33333333333334,77.14174516513701
TOTALENERGIES,2019,85.39417806069821,100.0,92.6970890303491
TOTALENERGIES,2020,85.47439830163171,100.0,92.73719915081585
TOTALENERGIES,2021,83.71258036855318,100.0,91.85629018427659
UNILEVER,2020,99.45454178142614,25.0,62.22727089071307
UNILEVER,2021,99.37615821588238,25.0,62.18807910794119
UNIPER,2020,99.1831227807147,16.666666666666664,57.924894723690684
UNIPER,2021,99.43864391446876,50.0,74.71932195723437
UNIPER,2022,99.14722351146794,50.0,74.57361175573396
USIMINAS,2020,100.0,66.66666666666666,83.33333333333333
USIMINAS,2021,100.0,66.66666666666666,83.33333333333333
VAN LANSCHOT KEMPEN,2022,100.0,66.66666666666666,83.33333333333333
VATTENFALL,2021,100.0,16.666666666666664,58.33333333333333
VODACOM,2021,100.0,58.333333333333336,79.16666666666667
VODACOM,2022,100.0,58.333333333333336,79.16666666666667
VODAFONE,2017,100.0,100.0,100.0
VODAFONE,2018,100.0,100.0,100.0
VODAFONE,2019,100.0,100.0,100.0
VOPAK,2022,100.0,83.33333333333334,91.66666666666667
VR,2020,99.34076473877522,50.0,74.67038236938761
VR,2022,100.0,83.33333333333334,91.66666666666667
WESFARMERS,2020,100.0,100.0,100.0
WESFARMERS,2021,100.0,100.0,100.0
YARA,2019,100.0,66.66666666666666,83.33333333333333
YARA,2020,100.0,66.66666666666666,83.33333333333333
YARA,2021,100.0,66.66666666666666,83.33333333333333
YARA,2022,100.0,66.66666666666666,83.33333333333333
YOKOHAMA,2019,46.63072776280324,16.666666666666664,31.648697214734952
YOKOHAMA,2020,45.226537216828476,16.666666666666664,30.94660194174757
YOKOHAMA,2021,38.27785817655571,16.666666666666664,27.472262421611187
